codigo,tipo,valido,detalles
TEC-0001-MX,producto,True,"{'categoria': 'TEC', 'numero': '0001', 'pais': 'MX'}"
ALI-9999-US,producto,True,"{'categoria': 'ALI', 'numero': '9999', 'pais': 'US'}"
ROB-1234-CA,producto,True,"{'categoria': 'ROB', 'numero': '1234', 'pais': 'CA'}"
tec-0001-MX,desconocido,False,{}
TEC-001-MX,producto,False,{}
TECH-0001-MX,desconocido,False,{}
ENV-2024-03-15-001234,envio,True,"{'fecha': '2024-03-15', 'secuencial': '001234'}"
ENV-2025-12-01-999999,envio,True,"{'fecha': '2025-12-01', 'secuencial': '999999'}"
ENV-2019-03-15-001234,envio,False,{}
ENV-2024-13-15-001234,envio,False,{}
ENV-2024-03-32-001234,envio,False,{}
EMP-VEN-1234,empleado,True,"{'departamento': 'VEN', 'numero': '1234'}"
EMP-TEC-9999,empleado,True,"{'departamento': 'TEC', 'numero': '9999'}"
EMP-ADM-1000,empleado,True,"{'departamento': 'ADM', 'numero': '1000'}"
EMP-VEN-0123,empleado,False,{}
EMP-XXX-1234,empleado,False,{}
EMP-VEN-123,empleado,False,{}
FAC-A-123456,factura,True,"{'serie': 'A', 'numero': '123456'}"
FAC-E-000001,factura,True,"{'serie': 'E', 'numero': '000001'}"
FAC-B-999999,factura,True,"{'serie': 'B', 'numero': '999999'}"
FAC-F-123456,factura,False,{}
FAC-A-12345,factura,False,{}
FAC-a-123456,factura,False,{}
XXX-1234,producto,False,{}
RANDOM-CODE,desconocido,False,{}
